"","x"
"1","1294 intron106"
"2","105377508 intron2"
"3","1305 intron3"
"4","10020 intron4"
"5","101927987 intron3"
"6","105372508 intron2"
"7","1159 intron6"
"8","116832 intron1"
"9","152100 intron2"
"10","105371010 intron1"
"11","124901479 intron1"
"12","101928007 intron3"
"13","101928008 intron1"
"14","136 intron4"
"15","124401 intron14"
"16","139818 intron12"
"17","105372233 intron1"
"18","10589 intron3"
"19","124901458 intron1"
"20","10006 intron3"
"21","101929591 intron6"
"22","100316904 intron3"
"23","1184 intron22"
"24","102724495 intron1"
"25","101928463 intron2"
"26","116113 intron16"
"27","11193 intron10"
"28","105373444 intron1"
"29","1523 intron26"
"30","10947 intron3"
"31","105378887 intron1"
"32","124901336 intron1"
"33","124905118 intron1"
"34","101928816 intron3"
"35","101928748 intron3"
"36","124901818 intron2"
"37","1001 intron5"
"38","105373119 intron1"
"39","124901365 intron1"
"40","102 intron15"
"41","128869 intron7"
"42","124901431 intron1"
"43","10900 intron2"
"44","112268118 intron1"
"45","112268119 intron2"
"46","124909380 intron1"
"47","124903011 intron1"
"48","102723493 intron3"
"49","124904049 intron1"
"50","107986541 intron2"
"51","112752 intron8"
"52","113 intron24"
"53","121232370 intron1"
"54","10533 intron1"
"55","105378464 intron4"
"56","100130933 intron1"
"57","1468 intron7"
"58","10797 intron1"
"59","105371941 intron1"
"60","124904625 intron1"
"61","10514 intron24"
"62","155061 intron4"
"63","147645 intron1"
"64","101929790 intron4"
"65","11309 intron6"
"66","105372472 intron1"
"67","1024 intron1"
"68","114876 intron28"
"69","102724533 intron1"
"70","105369961 intron2"
