"","x"
"1","115 intron9"
"2","105375180 intron2"
"3","155038 intron2"
"4","10724 intron14"
"5","129521 intron6"
"6","102723727 intron2"
"7","117532 intron10"
"8","102723395 intron1"
"9","137682 intron4"
"10","11262 intron10"
"11","105369574 intron1"
"12","105369574 intron2"
"13","105369577 intron1"
"14","100131755 intron3"
"15","107987120 intron1"
"16","105370991 intron9"
"17","105375186 intron2"
"18","105374186 intron1"
"19","10855 intron3"
"20","10855 intron2"
"21","10893 intron9"
"22","10894 intron1"
"23","105371283 intron2"
"24","11325 intron11"
"25","140700 intron4"
"26","140700 intron3"
"27","140700 intron1"
"28","114991 intron10"
"29","130813 intron1"
"30","157313 intron1"
"31","107985792 intron8"
"32","102724362 intron1"
"33","115995503 intron3"
"34","115992 intron6"
"35","105377731 intron3"
"36","121512 intron16"
"37","10845 intron10"
"38","124909364 intron1"
"39","102723686 intron5"
"40","102724680 intron2"
"41","10079 intron10"
"42","102724208 intron1"
"43","10867 intron1"
"44","10112 intron11"
"45","100652770 intron5"
"46","105379041 intron1"
"47","100190939 intron8"
"48","100131234 intron3"
"49","10561 intron2"
"50","104 intron8"
"51","115330 intron3"
"52","115350 intron8"
"53","124902656 intron1"
"54","124902656 intron3"
"55","124902664 intron2"
"56","122152331 intron2"
"57","122152369 intron1"
"58","143689 intron4"
"59","11346 intron7"
"60","116039 intron3"
"61","10479 intron11"
"62","107986238 intron1"
"63","107986256 intron2"
"64","149041 intron19"
"65","149041 intron15"
"66","124904791 intron2"
"67","116985 intron18"
"68","116985 intron9"
"69","101929076 intron2"
"70","101929077 intron2"
"71","100130348 intron2"
"72","100130418 intron2"
"73","1381 intron1"
"74","1382 intron1"
"75","105370345 intron4"
"76","105370345 intron3"
"77","105370345 intron1"
"78","10599 intron5"
"79","105377840 intron3"
"80","105377841 intron3"
"81","10497 intron36"
"82","105377953 intron4"
"83","124909458 intron1"
"84","11321 intron2"
"85","11254 intron3"
"86","105371692 intron6"
"87","102724428 intron9"
"88","102724428 intron10"
"89","102724428 intron12"
"90","105371554 intron3"
"91","105372892 intron4"
"92","105372353 intron5"
"93","105377112 intron1"
"94","105377113 intron2"
"95","105369647 intron1"
"96","105369649 intron2"
"97","105369649 intron1"
"98","105369652 intron1"
"99","105369655 intron2"
"100","124904958 intron1"
"101","1107 intron9"
"102","151651 intron12"
"103","130940 intron4"
"104","101929468 intron9"
"105","101929473 intron2"
"106","101929476 intron1"
"107","105374218 intron1"
"108","105377509 intron4"
"109","105376101 intron2"
"110","105376103 intron1"
"111","114876 intron8"
"112","102723680 intron1"
"113","102546229 intron2"
"114","102546294 intron1"
"115","102546298 intron2"
"116","102557615 intron2"
"117","10256 intron7"
"118","139322 intron3"
"119","139324 intron10"
"120","101927921 intron1"
"121","101927932 intron4"
"122","1016 intron17"
"123","105377099 intron1"
"124","105377141 intron2"
"125","1289 intron39"
"126","100423062 intron2"
"127","151647 intron3"
"128","100133311 intron2"
"129","100133461 intron2"
"130","121227 intron6"
"131","105369828 intron2"
"132","105369828 intron6"
"133","151658 intron1"
"134","1517 intron3"
"135","105377979 intron5"
"136","105377981 intron1"
"137","101 intron17"
"138","101060226 intron89"
"139","146198 intron1"
"140","1462 intron4"
"141","1462 intron11"
"142","105376426 intron3"
"143","101060254 intron8"
"144","11146 intron5"
"145","10892 intron4"
"146","10892 intron6"
"147","107986976 intron2"
"148","1121 intron11"
"149","1121 intron5"
"150","102724642 intron1"
"151","107984521 intron1"
"152","10392 intron5"
"153","10393 intron6"
"154","107986085 intron1"
"155","114795 intron4"
"156","105369565 intron2"
"157","105373579 intron1"
"158","1549 intron7"
"159","155 intron1"
"160","155038 intron5"
"161","116179 intron6"
"162","105373212 intron1"
"163","105373215 intron1"
"164","105373215 intron2"
"165","101060389 intron1"
"166","101060389 intron2"
"167","124903734 intron1"
"168","105377714 intron1"
"169","105379477 intron2"
"170","10499 intron8"
"171","107986768 intron1"
"172","107986770 intron1"
"173","107986776 intron4"
"174","107986776 intron3"
"175","107986777 intron3"
"176","105370335 intron2"
"177","105370340 intron1"
"178","101929423 intron5"
"179","101929427 intron1"
"180","101929428 intron1"
"181","101927329 intron3"
"182","1291 intron28"
"183","105379366 intron5"
"184","105379370 intron2"
"185","105379371 intron3"
"186","10610 intron3"
"187","10611 intron15"
"188","10367 intron15"
"189","105378525 intron1"
"190","10460 intron11"
"191","115353 intron5"
"192","102723803 intron3"
"193","105370238 intron2"
"194","1479 intron2"
"195","147323 intron2"
"196","105377187 intron2"
"197","10544 intron2"
"198","105373108 intron3"
"199","105373108 intron2"
"200","124903072 intron1"
"201","10129 intron17"
"202","10686 intron4"
"203","105378433 intron1"
"204","105378437 intron4"
"205","105377123 intron6"
"206","105377516 intron2"
"207","10612 intron3"
"208","10121 intron10"
"209","129563 intron4"
"210","134526 intron10"
"211","134526 intron9"
"212","105375743 intron2"
"213","105375743 intron1"
"214","125061 intron8"
"215","125144 intron1"
"216","107984516 intron6"
"217","100526825 intron2"
"218","112 intron21"
"219","112 intron20"
"220","115861 intron1"
"221","1159 intron1"
"222","1159 intron4"
"223","105371660 intron1"
"224","10690 intron1"
"225","1314 intron19"
"226","101929457 intron1"
"227","124903469 intron2"
"228","124903471 intron1"
"229","10349 intron34"
"230","105374323 intron2"
"231","126859 intron12"
"232","11285 intron4"
"233","112858 intron1"
"234","143162 intron6"
"235","150094 intron8"
"236","107984245 intron2"
"237","107984260 intron1"
"238","107984260 intron2"
"239","105370208 intron1"
"240","119391 intron2"
"241","107985861 intron1"
"242","107985863 intron1"
"243","101929512 intron2"
"244","10642 intron17"
"245","100505839 intron2"
"246","10749 intron1"
"247","10268 intron3"
"248","105372718 intron1"
"249","150776 intron17"
"250","150864 intron2"
"251","150864 intron4"
"252","1509 intron5"
"253","124903296 intron3"
"254","1107 intron42"
"255","145508 intron29"
"256","124900745 intron4"
"257","101929768 intron4"
"258","112939 intron1"
"259","112942 intron2"
"260","116988 intron7"
"261","1016 intron6"
"262","1016 intron5"
"263","1016 intron3"
"264","124906058 intron1"
"265","108903150 intron1"
"266","11129 intron4"
"267","11235 intron8"
"268","105374286 intron4"
"269","105378979 intron2"
"270","105378980 intron1"
"271","105375049 intron2"
"272","126626 intron2"
"273","149086 intron1"
"274","149095 intron1"
"275","153241 intron5"
"276","153241 intron4"
"277","153241 intron3"
"278","124901024 intron2"
"279","130507 intron21"
"280","130507 intron22"
"281","10691 intron12"
"282","10691 intron13"
"283","10692 intron2"
"284","10693 intron3"
"285","10693 intron1"
"286","1307 intron34"
"287","105369329 intron1"
"288","102723798 intron3"
"289","105377536 intron3"
"290","105377536 intron2"
"291","10178 intron34"
"292","101928005 intron3"
"293","101928007 intron1"
"294","10212 intron9"
"295","10212 intron8"
"296","10212 intron7"
"297","10212 intron4"
"298","10149 intron21"
"299","105374235 intron10"
"300","105374235 intron9"
"301","105378010 intron2"
"302","105378011 intron2"
"303","105378021 intron2"
"304","124902781 intron1"
"305","124902784 intron1"
"306","124902793 intron1"
"307","102723780 intron1"
"308","10053 intron5"
"309","105376144 intron2"
"310","116449 intron11"
"311","105374254 intron1"
"312","102723795 intron3"
"313","124903920 intron2"
"314","124359 intron8"
"315","105374340 intron3"
"316","114915 intron3"
"317","114926 intron1"
"318","114960 intron4"
"319","114960 intron3"
"320","114960 intron1"
"321","105748977 intron2"
"322","124902736 intron1"
"323","109729164 intron1"
"324","121009647 intron2"
"325","10154 intron23"
"326","105377258 intron2"
"327","124902520 intron1"
"328","116986 intron12"
"329","1278 intron3"
"330","11073 intron7"
"331","11073 intron6"
"332","10991 intron15"
"333","105376158 intron2"
"334","105378668 intron1"
"335","10396 intron27"
"336","107985167 intron4"
"337","107985177 intron2"
"338","107985200 intron3"
"339","144100 intron13"
"340","144100 intron11"
"341","11140 intron2"
"342","11116 intron12"
"343","1017 intron3"
"344","1007 intron5"
"345","1007 intron4"
"346","1007 intron3"
"347","10071 intron9"
"348","10072 intron1"
"349","101928232 intron3"
"350","10178 intron40"
"351","137392 intron7"
"352","1389 intron2"
"353","1389 intron3"
"354","105375287 intron12"
"355","105375287 intron15"
"356","105375292 intron1"
"357","11253 intron2"
"358","105374706 intron3"
"359","105373708 intron1"
"360","105373710 intron2"
"361","154091 intron2"
"362","107984331 intron1"
"363","100506637 intron2"
"364","100506649 intron3"
"365","105374285 intron1"
"366","10788 intron20"
"367","107985395 intron1"
"368","107985396 intron1"
"369","124901180 intron1"
"370","112268261 intron1"
"371","11181 intron5"
"372","11183 intron29"
"373","105374245 intron1"
"374","105374246 intron1"
"375","146691 intron13"
"376","146691 intron12"
"377","143 intron21"
"378","143 intron16"
"379","114134 intron4"
"380","123016 intron13"
"381","100128531 intron4"
"382","100128537 intron1"
"383","124900191 intron4"
"384","124900192 intron1"
"385","124900194 intron2"
"386","10156 intron11"
"387","124905237 intron1"
"388","123041 intron5"
"389","123041 intron10"
"390","123169 intron2"
"391","100129427 intron2"
"392","100874087 intron2"
"393","102723803 intron4"
"394","101928190 intron1"
"395","124904349 intron2"
"396","124602 intron13"
"397","135112 intron2"
"398","135112 intron3"
"399","105373465 intron4"
"400","105373465 intron3"
"401","105370195 intron1"
"402","102724319 intron1"
"403","11343 intron9"
"404","10133 intron14"
"405","10133 intron15"
"406","100507528 intron2"
"407","124900864 intron1"
"408","126859 intron18"
"409","126868 intron1"
"410","10150 intron11"
"411","10152 intron3"
"412","10152 intron7"
"413","10935 intron5"
"414","100129029 intron1"
"415","100874016 intron3"
"416","153830 intron5"
"417","105373594 intron2"
"418","105374423 intron3"
"419","11137 intron13"
"420","102724802 intron3"
"421","100287932 intron3"
"422","100288077 intron6"
"423","124901432 intron1"
"424","107986405 intron2"
"425","155400 intron8"
"426","1278 intron46"
"427","124901453 intron1"
"428","124901454 intron1"
"429","124901458 intron1"
"430","105369428 intron8"
"431","153090 intron8"
"432","153090 intron16"
"433","101928248 intron2"
"434","101928237 intron2"
"435","124902892 intron2"
"436","124902890 intron2"
"437","105374292 intron1"
"438","11113 intron26"
"439","11113 intron25"
"440","101928280 intron2"
"441","101928283 intron4"
"442","119395 intron2"
"443","105375783 intron1"
"444","10076 intron1"
"445","10076 intron2"
"446","105373539 intron4"
"447","105373548 intron1"
"448","124902907 intron2"
"449","154197 intron19"
"450","105373871 intron3"
"451","155435 intron14"
"452","105378808 intron1"
"453","10813 intron10"
"454","10814 intron2"
"455","10814 intron8"
"456","10388 intron18"
"457","10388 intron13"
"458","10879 intron2"
"459","107986980 intron4"
"460","105378424 intron2"
"461","105378427 intron1"
"462","155435 intron2"
"463","155435 intron8"
"464","10739 intron3"
"465","10739 intron2"
"466","11107 intron5"
"467","105377397 intron2"
"468","105379020 intron2"
"469","102467225 intron1"
"470","102467225 intron4"
"471","124901267 intron2"
"472","124901278 intron1"
"473","124901280 intron2"
"474","124901280 intron1"
